#featureID,isolation_center_m/z,rt,compound_m/z,compound_rt,compound_formula,DB_Compound_ID,Compound_Name,DB_Spectrum_ID,dot_product,ppm_Error,isotope_similiarity,Abundance,ComponentID,redundant
29,170.09235743472436,5.12632248266142,170.0924,-1,C7H11N3O2,JDHILDINMRGULE-LURJTMIESA-N,3-Methylhistidine,HMDB0000479,0.010771849747737823,0.25024801982168887,0.9944407589575964,0.0,residual,False
50,268.1039281774451,2.562099746460593,268.1041,-1,C10H13N5O4,OIRDTQYFTABQOQ-KQYNXXCUSA-N,Adenosine,HMDB0000050,99.8510778267686,0.640880408208012,0.9862719215500391,1.0,original,False
50,268.1039281774451,2.562099746460593,268.1041,-1,C10H13N5O4,HBOMLICNUCNMMY-XLPZGREQSA-N,Zidovudine,HMDB0014638,0.0022024651388607604,0.640880408208012,0.9862719215500391,0.0,original,False
50,268.1039281774451,2.562099746460593,268.1041,-1,C10H13N5O4,OIRDTQYFTABQOQ-UHTZMRCNSA-N,Vidarabine,HMDB0014340,92.75089985193007,0.640880408208012,0.9862719215500391,0.0,original,False
275,120.06557040744354,5.867363807057334,120.0655,-1,C4H9NO3,UKAUYVFTDYCKQA-VKHMYHEASA-N,L-Homoserine,HMDB0000719,0.0008976989933774224,-0.5864082709620023,0.42723404494389416,0.0,residual,False
31,252.10900968663833,1.940905147617588,252.1091,-1,C10H13N5O3,XGYIMTFOTBMPFP-KQYNXXCUSA-N,5'-Deoxyadenosine,HMDB0001983,4.2931537832679156e-05,0.35823139281651856,0.9900936031308567,0.0,original,False
31,252.10900968663833,1.940905147617588,252.108955383301,1.895,-1,252.108955383301|2.48,Predicted Analyte: m/z = 252.10896 rt: 1.9,-1,99.97582434473865,-0.21539625810843838,-1,1.0,original,False
198,428.03677368164097,8.0131203958835,428.0367,-1,C10H15N5O10P2,CIKGWCTVFSRMJU-KVQBGUIXSA-N,dGDP,HMDB0000960,47.2710803205315,-0.17213857663706778,0.9643507825307376,1.0,original,False
159,104.07057952880882,5.8447760588944995,104.0706,-1,C4H9NO2,FFDGPVCHZBVARC-UHFFFAOYSA-N,Dimethylglycine,HMDB0000092,0.000986039664758527,0.19670488307500353,0.987918193241524,0.0,original,False
82,120.06557040744354,5.867363807057334,120.0655,-1,C4H9NO3,UKAUYVFTDYCKQA-VKHMYHEASA-N,L-Homoserine,HMDB0000719,0.0008976989933774224,-0.5864082709620023,0.42723404494389416,0.0,residual,False
88,190.0500762939452,1.2054970570766,190.0499,-1,C10H7NO3,HCZHHEIFKROPDY-UHFFFAOYSA-N,Kynurenic acid,HMDB0000715,5.1877899554810405,-0.9276183869006389,0.9880112141793528,0.6363289602170548,HCZHHEIFKROPDY-UHFFFAOYSA-N,False
103,523.998107910156,9.322655371483,523.998107910156,9.219999999999999,-1,523.998107910156|9.37,Predicted Analyte: m/z = 523.99811 rt: 9.22,-1,99.99999999999999,0.0,-1,1.0,original,False
293,104.07054567337043,6.543285721110437,104.0706,-1,C4H9NO2,BTCSSZJGUNDROE-UHFFFAOYSA-N,gamma-Aminobutyric acid,HMDB0000112,0.0040832850424260565,0.5220173413619812,0.9906040242380145,0.0,original,False
293,104.07054567337043,6.543285721110437,104.0706,-1,C4H9NO2,QCHPKSFMDHPSNR-UHFFFAOYSA-N,3-Aminoisobutanoic acid,HMDB0003911,1.6871189717682507,0.5220173413619812,0.9906040242380145,1.0,original,False
246,428.03677368164097,8.0131203958835,428.0367,-1,C10H15N5O10P2,CIKGWCTVFSRMJU-KVQBGUIXSA-N,dGDP,HMDB0000960,47.2710803205315,-0.17213857663706778,0.9643507825307376,1.0,original,False
101,245.09524536132832,2.3877862404666668,245.0973,-1,C15H13FO2,SYTBZMRGLBWNTM-UHFFFAOYSA-N,Flurbiprofen,HMDB0014850,0.11973161130429387,8.383021337835318,0.5,0.0,original,False
101,245.09524536132832,2.3877862404666668,245.0955,-1,C10H16N2O3S,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,Biotin,HMDB0000030,58.65019507187584,1.0389376231582548,0.9231184547531176,0.0,original,False
104,323.064117431641,5.217083661617,323.064117431641,5.17,-1,323.064117431641|5.34,Predicted Analyte: m/z = 323.06412 rt: 5.17,-1,100.0,0.0,-1,0.0,original,False
67,252.10900968663833,1.940905147617588,252.1091,-1,C10H13N5O3,XGYIMTFOTBMPFP-KQYNXXCUSA-N,5'-Deoxyadenosine,HMDB0001983,4.2931537832679156e-05,0.35823139281651856,0.9900936031308567,0.0,original,False
67,252.10900968663833,1.940905147617588,252.108955383301,1.895,-1,252.108955383301|2.48,Predicted Analyte: m/z = 252.10896 rt: 1.9,-1,99.97582434473865,-0.21539625810843838,-1,1.0,original,False
77,175.1189863416882,11.097304888694389,175.119,-1,C6H14N4O2,ODKSFYDXXFIFQN-BYPYZUCNSA-N,L-Arginine,HMDB0000517,1.236439343476601,0.07799446577316123,0.9613445571635644,0.01328821798374597,ODKSFYDXXFIFQN-BYPYZUCNSA-N,False
77,175.1189863416882,11.097304888694389,175.119,-1,C6H14N4O2,ODKSFYDXXFIFQN-SCSAIBSYSA-N,D-Arginine,HMDB0003416,34.1381853579657,0.07799446577316123,0.9613445571635644,0.6350800237037649,ODKSFYDXXFIFQN-SCSAIBSYSA-N,False
90,168.06553904215505,1.6298330148361666,168.0655,-1,C8H9NO3,RADKZDMFGJYCBB-UHFFFAOYSA-N,Pyridoxal,HMDB0001545,3.66986815144052,-0.2323031555947589,0.9920065072385258,0.2602759038463811,RADKZDMFGJYCBB-UHFFFAOYSA-N,False
111,162.07606048583992,4.915334470038301,162.0761,-1,C6H11NO4,FIOHTMQGSFVHEZ-UHFFFAOYSA-N,(±)-2_2'-Iminobispropanoic acid,HMDB0033747,6.321301994856683,0.24380010200538904,0.9910677211231617,0.8114330476954122,FIOHTMQGSFVHEZ-UHFFFAOYSA-N,False
79,114.06611987522665,2.7614799456488575,114.0662,-1,C4H7N3O,DDRJAANPRJIHGJ-UHFFFAOYSA-N,Creatinine,HMDB0000562,84.30275816072518,0.7024414737292713,0.9979971227148005,1.0,original,False
117,204.101978302002,1.0382830284042501,204.1019,-1,C12H13NO2,AJXPJJZHWIXJCJ-UHFFFAOYSA-N,Methsuximide,HMDB0015611,7.54092053085213,-0.3836415632070072,0.8750200317559416,0.0,original,False
117,204.101978302002,1.0382830284042501,204.102020263672,1.08,-1,204.102020263672|1.18,Predicted Analyte: m/z = 204.10202 rt: 1.08,-1,96.5835220201226,0.20559168670393443,-1,0.9872375506671571,204.102020263672|1.18,False
152,102.05490875244121,4.7498982483366,102.055,-1,C4H7NO2,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,1-Aminocyclopropanecarboxylic acid,HMDB0036458,72.2240591126449,0.8941025955044077,0.9544392453288323,0.8383039612348198,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,False
126,345.0783335367841,6.198924654077833,345.0781,-1,C12H17N4O4PS,HZSAJDVWZRBGIF-UHFFFAOYSA-N,Thiamine monophosphate,HMDB0002666,97.4518635081833,-0.6767645528499067,0.9540694370657087,1.0,original,False
347,162.07605812766354,6.475601171210636,162.0761,-1,C6H11NO4,FIOHTMQGSFVHEZ-UHFFFAOYSA-N,(±)-2_2'-Iminobispropanoic acid,HMDB0033747,0.038568304791594614,0.2583499187786924,0.9057368593610057,0.0,original,False
115,290.1346740722658,5.633667185424899,290.134735107422,5.6,-1,290.134735107422|5.8,Predicted Analyte: m/z = 290.13474 rt: 5.6,-1,99.88416553240837,0.21036836216947355,-1,1.0,original,False
78,150.07728689688233,2.2137444507487776,150.0774,-1,C6H7N5,FSASIHFSFGAIJM-UHFFFAOYSA-N,3-Methyladenine,HMDB0011600,99.0414948485286,0.753632478455516,0.9980539348064728,0.9994933248951803,FSASIHFSFGAIJM-UHFFFAOYSA-N,False
180,335.0640513102214,6.837209079388832,335.0639,-1,C11H15N2O8P,DAYLJWODMCOQEW-TURQNECASA-N,Nicotinamide ribotide,HMDB0000229,99.05804720276518,-0.4515859603314803,0.9776444788134999,1.0,original,False
105,164.05664760044647,3.457458834175172,164.0567,-1,C6H5N5O,HNXQXTQTPAJEJL-UHFFFAOYSA-N,Pterin,HMDB0000802,1.542088448402235,0.31939914843608913,0.9902858289469716,0.009321369315716884,HNXQXTQTPAJEJL-UHFFFAOYSA-N,False
30,363.1776733398438,2.8817957203016196,363.1802,-1,C20H26O6,PUETUDUXMCLALY-HOTGVXAUSA-N,Secoisolariciresinol,HMDB0013692,0.13554486280775063,6.957091092552632,0.945106697938339,0.0,original,False
161,204.12294488204154,4.018292376263157,204.12287902832017,4.01,-1,204.12287902832017|4.35,Predicted Analyte: m/z = 204.12288 rt: 4.01,-1,99.99952482252418,-0.32261792717496174,-1,1.0,original,False
276,222.097188313802,4.482506699877833,222.0972,-1,C8H15NO6,OVRNDRQMDRJTHS-FMDGEEDCSA-N,beta-N-Acetylglucosamine,HMDB0000803,11.869690188906324,0.05261749627634567,0.9782653880847896,0.0,original,False
164,222.097188313802,4.482506699877833,222.0972,-1,C8H15NO6,OVRNDRQMDRJTHS-FMDGEEDCSA-N,beta-N-Acetylglucosamine,HMDB0000803,11.869690188906324,0.05261749627634567,0.9782653880847896,0.0,original,False
172,198.076072692871,6.424295287216999,198.0761,-1,C9H11NO4,WTDRDQBEARUVNC-UHFFFAOYSA-N,DL-Dopa,HMDB0000609,29.80741766265797,0.13786182559557464,0.8782945742538006,1.0,original,False
233,222.097183227539,4.4513082396682995,222.0972,-1,C8H15NO6,OVRNDRQMDRJTHS-FMDGEEDCSA-N,beta-N-Acetylglucosamine,HMDB0000803,16.682092877353487,0.0755185668599427,0.9782896926650522,0.0,original,False
224,174.0551681518555,1.153634124075125,174.055,-1,C10H7NO2,LOAUVZALPPNFOQ-UHFFFAOYSA-N,Quinaldic acid,HMDB0000842,0.03426837609595438,-0.9660836691941568,0.9971873774467376,0.0,residual,False
156,131.1178326076934,8.864431022736165,131.1179,-1,C6H14N2O,KLZGKIDSEJWEDW-UHFFFAOYSA-N,N-Acetylputrescinium,HMDB0060268,96.06479716227837,0.5139827684004089,0.9949562835954952,0.9715835574450317,KLZGKIDSEJWEDW-UHFFFAOYSA-N,False
168,174.0551681518555,1.153634124075125,174.055,-1,C10H7NO2,LOAUVZALPPNFOQ-UHFFFAOYSA-N,Quinaldic acid,HMDB0000842,0.03426837609595438,-0.9660836691941568,0.9971873774467376,0.0,residual,False
234,132.101821899414,4.218769933078429,132.1019,-1,C6H13NO2,SLXKOJJOQWFEFD-UHFFFAOYSA-N,Aminocaproic acid,HMDB0001901,0.07548889503917271,0.5912150557193455,0.9914874952821144,0.0,original,False
234,132.101821899414,4.218769933078429,132.1019,-1,C6H13NO2,ROHFNLRQFUQHCH-UHFFFAOYSA-N,3_3_5-triiodo-L-thyronine-beta-D-glucuronoside,HMDB0062203,0.00965555187962922,0.5912150557193455,0.9914874952821144,0.0,original,False
189,132.101776123047,3.9536366754851113,132.1019,-1,C6H13NO2,AGPKZVBTJJNPAG-WHFBIAKZSA-N,L-Isoleucine,HMDB0000172,0.003956001380561602,0.9377387393828296,0.9937502150421801,0.0,original,False
221,132.101776123047,3.9536366754851113,132.1019,-1,C6H13NO2,AGPKZVBTJJNPAG-WHFBIAKZSA-N,L-Isoleucine,HMDB0000172,0.003956001380561602,0.9377387393828296,0.9937502150421801,0.0,original,False
144,137.04572772979722,3.2549189365729374,137.0458,-1,C5H4N4O,FDGQSTZJBFJUBT-UHFFFAOYSA-N,Hypoxanthine,HMDB0000157,97.35554356819517,0.5273437121321194,0.9990031378812392,0.18515584442127678,FDGQSTZJBFJUBT-UHFFFAOYSA-N,False
144,137.04572772979722,3.2549189365729374,137.0445,-1,C4H8O5,JPIJQSOTBSSVTP-GBXIJSLDSA-N,Threonic acid,HMDB0000943,0.007830483250009465,-8.958541193217474,0.9044204990386859,0.0,residual,False
144,137.04572772979722,3.2549189365729374,137.0458,-1,C5H4N4O,OFCNXPDARWKPPY-UHFFFAOYSA-N,Allopurinol,HMDB0014581,99.51105865235503,0.5273437121321194,0.9990031378812392,0.7964798340599587,OFCNXPDARWKPPY-UHFFFAOYSA-N,False
209,90.05492909749351,6.524886886450166,90.055,-1,C3H7NO2,UCMIRNVEIXFBKS-UHFFFAOYSA-N,beta-Alanine,HMDB0000056,91.89426172225215,0.7873251048456662,0.9874580906316976,0.9930053084592927,UCMIRNVEIXFBKS-UHFFFAOYSA-N,False
204,90.05495876736121,6.1813982066443325,90.055,-1,C3H7NO2,UCMIRNVEIXFBKS-UHFFFAOYSA-N,beta-Alanine,HMDB0000056,92.54110773030666,0.4578608369539354,0.9906651859023717,0.9947891894630342,UCMIRNVEIXFBKS-UHFFFAOYSA-N,False
311,90.05496131049267,5.742646218144444,90.055,-1,C3H7NO2,UCMIRNVEIXFBKS-UHFFFAOYSA-N,beta-Alanine,HMDB0000056,76.25447628140277,0.4296210533184481,0.9921151858260974,1.0,original,False
193,138.054851825421,4.344863582144923,138.055,-1,C7H7NO2,WWNNZCOKKKDOPX-UHFFFAOYSA-N,Trigonelline,HMDB0000875,92.60625425605241,1.0733022204648779,0.9972017260563031,0.9925035832807955,WWNNZCOKKKDOPX-UHFFFAOYSA-N,False
210,442.1471761067707,7.770370187216334,442.147,-1,C19H19N7O6,OVBPIULPVIDEAO-LBPRGKRZSA-N,Folic acid,HMDB0000121,93.86340635504503,-0.39829898329331914,0.947123011053496,1.0,original,False
230,363.216857910156,1.127116948267,363.2166,-1,C21H30O5,JYGXADMDTFJGBT-VWUMJDOOSA-N,Cortisol,HMDB0000063,0.05428626751802034,-0.7100720970894986,0.5,0.0,original,False
300,90.05495876736121,6.1813982066443325,90.055,-1,C3H7NO2,UCMIRNVEIXFBKS-UHFFFAOYSA-N,beta-Alanine,HMDB0000056,92.54110773030666,0.4578608369539354,0.9906651859023717,0.9947891894630342,UCMIRNVEIXFBKS-UHFFFAOYSA-N,False
218,298.096888224284,1.3826892570723335,298.0969,-1,C11H15N5O3S,WUUGFSXJNOTRMR-IOSLPCCCSA-N,5'-Methylthioadenosine,HMDB0001173,99.68723853739166,0.03950298202855433,0.9755688056259213,1.0,original,False
207,364.0654471261161,7.713272245849857,364.0653,-1,C10H14N5O8P,RQFCJASXJCIDSX-UUOKFMHZSA-N,Guanosine monophosphate,HMDB0001397,42.12403326287756,-0.4041199660505037,0.9699156032656393,1.0,original,False
222,241.12949456108936,6.082680083974,241.1295,-1,C10H16N4O3,MYYIAHXIVFADCU-QMMMGPOBSA-N,Anserine,HMDB0000194,11.110311983485813,0.02255597415812311,0.9828807107583916,1.0,original,False
205,152.0566526140485,4.6512396701465,152.0567,-1,C5H5N5O,DRAVOWXCEBXPTN-UHFFFAOYSA-N,2-Hydroxyadenine,HMDB0000403,0.003305646805355202,0.31163353068467115,0.9971275017479324,0.0,residual,False
205,152.0566526140485,4.6512396701465,152.0567,-1,C5H5N5O,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Guanine,HMDB0000132,66.38565958888124,0.31163353068467115,0.9971275017479324,0.9617978458253104,UYTPUPDQBNUYGX-UHFFFAOYSA-N,False
229,123.05528971354173,1.6013933834777998,123.0553,-1,C6H6N2O,DFPAKSUCGFBDDF-UHFFFAOYSA-N,Niacinamide,HMDB0001406,72.35790196541346,0.08359216658715057,0.9979326125679352,0.9130308413602127,DFPAKSUCGFBDDF-UHFFFAOYSA-N,False
252,665.1005706787109,7.11794095294575,665.100524902344,7.07,-1,665.100524902344|7.27,Predicted Analyte: m/z = 665.10052 rt: 7.07,-1,98.25077023863274,-0.06882623317164381,-1,1.0,original,False
215,170.08116149902344,1.808802803484375,170.081085205078,1.75,-1,170.081085205078|2.09,Predicted Analyte: m/z = 170.08109 rt: 1.75,-1,99.9994755638466,-0.4485737559278421,-1,0.9998589439510338,170.081085205078|2.09,False
220,130.08619779698984,4.835301167747942,130.0863,-1,C6H11NO2,HXEACLLIILLPRG-UHFFFAOYSA-N,Pipecolic acid,HMDB0000070,99.96881321531428,0.7856560641241906,0.996708533889148,0.998790169758476,HXEACLLIILLPRG-UHFFFAOYSA-N,False
220,130.08619779698984,4.835301167747942,130.0863,-1,C6H11NO2,PJDFLNIOAUIZSL-UHFFFAOYSA-N,Vigabatrin,HMDB0015212,0.7583661989536328,0.7856560641241906,0.996708533889148,0.0,HXEACLLIILLPRG-UHFFFAOYSA-N,False
257,175.086502075195,1.3178048830333333,175.0866,-1,C10H10N2O,ZOAMBXDOGPRZLP-UHFFFAOYSA-N,1H-Indole-3-acetamide,HMDB0029739,0.11566661862392263,0.5592938567149617,0.9632605753363283,0.0,original,False
239,344.27978176540813,1.2018522867073331,344.2796,-1,C19H37NO4,FUJLYHJROOYKRA-QGZVFWFLSA-N,Dodecanoylcarnitine,HMDB0002250,99.2496005354363,-0.5279584156322965,0.9902475101572787,1.0,original,False
254,608.0890869140624,7.06011841863,608.0889,-1,C17H27N3O17P2,LFTYTUAZOPRMMI-NESSUJCYSA-N,UDP-N-acetyl-alpha-D-galactosamine,HMDB0060522,56.4186397432344,-0.307379406108462,0.9807162507461581,0.33078185570080815,LFTYTUAZOPRMMI-NESSUJCYSA-N,False
254,608.0890869140624,7.06011841863,608.0889,-1,C17H27N3O17P2,LFTYTUAZOPRMMI-UHFFFAOYSA-N,UDP-N-acetyl-alpha-D-glucosamine(2-),HMDB0062760,81.00774997218156,-0.307379406108462,0.9807162507461581,0.6692181442991918,LFTYTUAZOPRMMI-UHFFFAOYSA-N,False
368,608.0890869140624,7.06011841863,608.0889,-1,C17H27N3O17P2,LFTYTUAZOPRMMI-NESSUJCYSA-N,UDP-N-acetyl-alpha-D-galactosamine,HMDB0060522,56.4186397432344,-0.307379406108462,0.9807162507461581,0.33078185570080815,LFTYTUAZOPRMMI-NESSUJCYSA-N,False
368,608.0890869140624,7.06011841863,608.0889,-1,C17H27N3O17P2,LFTYTUAZOPRMMI-UHFFFAOYSA-N,UDP-N-acetyl-alpha-D-glucosamine(2-),HMDB0062760,81.00774997218156,-0.307379406108462,0.9807162507461581,0.6692181442991918,LFTYTUAZOPRMMI-UHFFFAOYSA-N,False
260,450.3215827941895,0.9208297231707501,450.321746826172,0.92,-1,450.321746826172|1.07,Predicted Analyte: m/z = 450.32175 rt: 0.92,-1,91.8875649920281,0.36425520949033874,-1,1.0,original,False
259,184.0604451497398,0.9355465399501112,184.060459136963,0.91,-1,184.060459136963|1.04,Predicted Analyte: m/z = 184.06046 rt: 0.91,-1,99.98907714490872,0.07599255343087716,-1,0.9998866139996267,184.060459136963|1.04,False
348,148.06036529541,5.2807528289984,148.0605,-1,C5H9NO4,WHUUTDBJXJRKMK-UHFFFAOYSA-N,DL-Glutamate,HMDB0060475,14.059190913220384,0.9097950671216475,0.8681256566196184,0.1216031839618733,WHUUTDBJXJRKMK-UHFFFAOYSA-N,True
348,148.06036529541,5.2807528289984,148.0605,-1,C5H9NO4,HOKKHZGPKSLGJE-GSVOUGTGSA-N,N-Methyl-D-aspartic acid,HMDB0002393,0.053856813640174125,0.9097950671216475,0.8681256566196184,0.0,WHUUTDBJXJRKMK-UHFFFAOYSA-N,True
348,148.06036529541,5.2807528289984,148.0605,-1,C5H9NO4,VZXPDPZARILFQX-BYPYZUCNSA-N,O-Acetylserine,HMDB0003011,76.50193049161494,0.9097950671216475,0.8681256566196184,0.8725335869688688,VZXPDPZARILFQX-BYPYZUCNSA-N,False
280,220.11753463745126,2.17044083367925,220.1193,-1,C10H13N5O,UZKQTCBAMSWPJD-FARCUNLSSA-N,Cis-zeatin,HMDB0012204,2.4372350735696986,8.020090501468978,0.8828574904255411,0.0,original,False
273,205.097178141276,4.585760522991667,205.0972,-1,C11H12N2O2,QIVBCDIJIAJPQS-UHFFFAOYSA-N,(±)-Tryptophan,HMDB0030396,44.410199995418786,0.10657739994746561,0.9657512802547193,0.0,QIVBCDIJIAJPQS-SECBINFHSA-N,False
273,205.097178141276,4.585760522991667,205.0972,-1,C11H12N2O2,QIVBCDIJIAJPQS-SECBINFHSA-N,D-Tryptophan,HMDB0013609,70.02685640914666,0.10657739994746561,0.9657512802547193,0.9461028959873262,QIVBCDIJIAJPQS-SECBINFHSA-N,False
265,148.06036376953128,6.269972916710636,148.0605,-1,C5H9NO4,WHUUTDBJXJRKMK-UHFFFAOYSA-N,DL-Glutamate,HMDB0060475,89.35842830255521,0.9201008645641522,0.9752327843018181,0.9661929224397431,WHUUTDBJXJRKMK-UHFFFAOYSA-N,False
265,148.06036376953128,6.269972916710636,148.0605,-1,C5H9NO4,HOKKHZGPKSLGJE-GSVOUGTGSA-N,N-Methyl-D-aspartic acid,HMDB0002393,0.3428828388708435,0.9201008645641522,0.9752327843018181,0.0,WHUUTDBJXJRKMK-UHFFFAOYSA-N,False
265,148.06036376953128,6.269972916710636,148.0605,-1,C5H9NO4,VZXPDPZARILFQX-BYPYZUCNSA-N,O-Acetylserine,HMDB0003011,3.4975711587765175,0.9201008645641522,0.9752327843018181,0.0,WHUUTDBJXJRKMK-UHFFFAOYSA-N,False
